"species_code","common_name","scientific_name","luomus_name","suomenkielinen_nimi","class"
"comcra","Common Crane","Grus grus","Grus grus","kurki",73
"sibjay1","Siberian Jay","Perisoreus infaustus","Perisoreus infaustus","kuukkeli",74
"coatit2","Coal Tit","Periparus ater","Parus ater","kuusitiainen",75
"mutswa","Mute Swan","Cygnus olor","Cygnus olor","kyhmyjoutsen",76
"eurwry","Eurasian Wryneck","Jynx torquilla","Jynx torquilla","käenpiika",77
"comcuc","Common Cuckoo","Cuculus canorus","Cuculus canorus","käki",78
"grswoo","Great Spotted Woodpecker","Dendrocopos major","Dendrocopos major","käpytikka",79
"marsan","Marsh Sandpiper","Tringa stagnatilis","Tringa stagnatilis","lampiviklo",80
"norsho","Northern Shoveler","Spatula clypeata","Anas clypeata","lapasorsa",81
"gresca","Greater Scaup","Aythya marila","Aythya marila","lapasotka",82
"retpip","Red-throated Pipit","Anthus cervinus","Anthus cervinus","lapinkirvinen",83
"grgowl","Great Gray Owl","Strix nebulosa","Strix nebulosa","lapinpöllö",84
"laplon","Lapland Longspur","Calcarius lapponicus","Calcarius lapponicus","lapinsirkku",85
"temsti","Temminck's Stint","Calidris temminckii","Calidris temminckii","lapinsirri",86
"gyhchi","Gray-headed Chickadee","Poecile cinctus","Parus cinctus","lapintiainen",87
"arcter","Arctic Tern","Sterna paradisaea","Sterna paradisaea","lapintiira",88
"arcwar1","Arctic Warbler","Phylloscopus borealis","Phylloscopus borealis","lapinuunilintu",89
"whoswa","Whooper Swan","Cygnus cygnus","Cygnus cygnus","laulujoutsen",90
"sonthr1","Song Thrush","Turdus philomelos","Turdus philomelos","laulurastas",91
"garwar1","Garden Warbler","Sylvia borin","Sylvia borin","lehtokerttu",92
"eurwoo","Eurasian Woodcock","Scolopax rusticola","Scolopax rusticola","lehtokurppa",93
"tawowl1","Tawny Owl","Strix aluco","Strix aluco","lehtopöllö",94
"comred2","Common Redstart","Phoenicurus phoenicurus","Phoenicurus phoenicurus","leppälintu",95
"commoo3","Eurasian Moorhen","Gallinula chloropus","Gallinula chloropus","liejukana",96
"woosan","Wood Sandpiper","Tringa glareola","Tringa glareola","liro",97
"spocra1","Spotted Crake","Porzana porzana","Porzana porzana","luhtahuitti",98
"watrai1","Water Rail","Rallus aquaticus","Rallus aquaticus","luhtakana",99
"marwar3","Marsh Warbler","Acrocephalus palustris","Acrocephalus palustris","luhtakerttunen",100
"rocpip1","Rock Pipit","Anthus petrosus","Anthus petrosus","luotokirvinen",101
"pifgoo","Pink-footed Goose","Anser brachyrhynchus","Anser brachyrhynchus","lyhytnokkahanhi",102
"goleag","Golden Eagle","Aquila chrysaetos","Aquila chrysaetos","maakotka",103
"euhbuz1","European Honey-buzzard","Pernis apivorus","Pernis apivorus","mehiläishaukka",104
